;ID;loc_id;postal_code;name;latitude;longitude
0;1;14308;19348;Berge bei Perleberg;5.323.746;1.187.077
1;2;22537;85309;Pörnbach;486.167;114.667
2;3;106968;24790;Osterrönfeld Heidkrug, Gemeinde Osterrönfeld;5.427.536;9.737.535
3;4;18324;98646;Hildburghausen;5.043.950.110.601;10.723.922.177.567
4;5;16590;27336;Frankenfeld, Aller;5.276.951;943.078.000.000.003
5;6;19092;19294;Karenz;5.323.012;1.134.384
6;7;144118;19395;Wendisch Priborn Tönchow;5.334.181;123.207.600.000.001
7;8;16355;99628;Eßleben-Teutleben;511.417;114.583
8;9;25953;38486;Wenze;5.256.471;1.113.311
9;10;21836;72622;Nürtingen;486.333;Sep 35
10;11;16410;27324;Eystrup;527.764;921.752
11;12;15101;17440;Buddenhagen bei Wolgast;540.000.756.749.505;136.904.298.782.349
12;13;143280;19073;Dümmer Walsmühlen;5.356.353;112.614.100.000.001
13;14;22961;8141;Reinsdorf bei Zwickau;50.7;125.833
14;15;13766;6317;Aseleben;5.148.859;1.167.065
15;16;15874;56307;Dürrholz;505.889;757.222
16;17;144248;18581;Putbus Altkamp;54.315.887;1.342.442
17;18;20962;56370;Mittelfischbach, Rhein-Lahn-Kreis;50.25;Jul 95
18;19;81431;76185;Karlsruhe (Baden) Daxlanden;490.047;838.583
19;20;81431;76189;Karlsruhe (Baden) Daxlanden;490.047;838.583
20;21;26317;7318;Wittgendorf bei Saalfeld;50.6;112.333
21;22;143695;19071;Brüsewitz Gottmannsförde;5.368.279;112.731.200.000.001
22;23;20873;31867;Messenkamp;52.260.082;9.379.738
23;24;23311;9661;Rossau bei Mittweida;51;130.667
24;25;17814;37620;Halle, Kreis Holzminden;5.199.053;956.191.000.000.001
25;26;21881;54578;Oberehe-Stroheich;502.833;676.667
26;27;150748;17179;Gnoien Finkenthal;5.394.062;1.277.757
27;28;15700;26892;Dörpen;5.296.848;734.218.999.999.996
28;29;19727;4509;Krostitz;5.146.221;1.245.321
29;30;16073;87637;Eisenberg, Allgäu;47.6;10. Jun
30;31;19071;76870;Kandel, Pfalz;490.892;818.417
31;32;21057;6618;Molau;51.05;117.833
32;33;13581;86450;Altenmünster, Schwaben;484.667;10. Jun
